sentiment	text
neutral	In honor of National Hot Dog Day on July 23. I advise you to forget this article before you eat your half-dozen. https://t.co/PI64RLOEO9
positive	It's Thursday and Dustin Johnson is crushing it at a major. All is right.
neutral	The Hokage sat at his desk, it was getting dark and he was getting ready to go home. Another quiet day at the office. Naruto had been in -
positive	and it's saturday, so no school Katy Perry made teenage dream so cool #ShesKindaHotVMA
neutral	I was vending on Saturday at the Eid at the MLK, Jr. Middle School I noticed a lot of people did not know... http://t.co/cSJoJYxUr2
neutral	FACT: The core of Carly Fiorina's support comes from people who knew nothing about her before 4:59 PM on Thursday. #CheckHerRecord
neutral	@1DZiamNews  and i can see  Zayn's long eyelashes in what looks like sun rays above the wing...
neutral	When I hear tale of 2 citiez beat, I think it's Kendrick Lamars Black Friday...
neutral	Is Carly Fiorina Better Off Being Left Out?: Despite her rise in the polls, the GOP contender still may not ma... http://t.co/khV89VSTBT
neutral	When you get reality check on 4th day of Eid.
neutral	RT: TV show ratings: Rookie Blue dips to a new low on Thursday: Big Brother and Under the Dome hold t... http://t.co/MB9vjnrt9u #xfactor
neutral	A seal may not have been achieved on the proposed international friendly between the Super Eagles and Mena of Niger Republic.
neutral	Not even a year after the Charlie Hebdo attack (Jan 2015).
negative	Don't sleep on Matty B, he may pull a Justin Bieber and snatch us all dead.
positive	@hughcartoons he was like David Abbott's edgier younger brother.  the Elvis Costello to David Abbott's George Harrison, if i may.
positive	@ItsNotZ may be unpopular opinion but Ice Cube was the one with the lyrics.
neutral	TFI Friday - not half as good as it was 'back in the day'. All seems rather self-indulgent towards Chris Evans these days (even more so!)
neutral	Better value phone that Moto G 3rd generation? But Android only, people. I see you, you iTits.
neutral	@AskPlayStation I did, but nothing happened. I also formatted the PS4 but nothing changed. Tomorrow I'll go to the shop I bought it. Ty! :)
neutral	Brantley Gilbert, Jason Aldean, Kenny Chesney, and Cole Swindell - Saturday night. Two tickets. Anybody interested in getting the other?
neutral	Thor said Thursday during press conf that he had tricks up his sleeve for tonight. It was the Warthen slider, he relied on it heavily 3 IP+
positive	NFL Legend Frank Gifford Passes Away at 84. Most will remember him on Monday Night Football. Did you see him play? http://t.co/c8BojdWRsa
positive	As Friday shines in the heart of Muslims may you be among the ones who will receive the peace and blessings of!!!...Friday Prayers. Ameen.
neutral	"@Pinkdog004 If all of the Kpop fans came after 1d people will wake up tomorrow and be like ""who is 1d?"""
neutral	Not making it to the main debate stage may not be such a bad thing for Carly Fiorina http://t.co/gAYOWzo2g4 http://t.co/eTy6OuZ5w7
neutral	#Beatles #CD Paul McCartney &amp; Wings Band on the Run 25th Anniversary Ed. 2 CD Set beatles http://t.co/kLF4j3Xp02 #eBay #Auction
neutral	Carter handing off 1st...but Bromell gonna be close... Gay might give US the lead...n Bolt may have to chase
positive	"Saturday movie reviews: ""Ant-man"" is fun &amp; light http://t.co/hFOCj2Lv60 while ""Woman in Gold"" is tugs at the heart http://t.co/ZOzkRfq58y"
neutral	Big Brother starting next Friday? At the end of this morning @Rylan slipped up &amp; said 'don't cause you'll get me sacked before Friday night
positive	It would have been cool if Ice Cube was staring out of the window at his neighbor when they showed him writing Friday. #HeyMissParker
neutral	I'll play Brock Lesnar's theme on September 1st lmao  Slowly approaching the squad
positive	Let us pray for Christians who are victims of persecution, so that they may know how to respond to evil with good. Pope Francis
negative	@zain1 Bloody Sunday had nothing 2 do with the IRA don't think Bono are going to be welcome in the North of Ireland anymore
positive	National Ice Cream Day is this Sunday!   We will have free random give-aways all day!  #welovebensons #nationalicecreamday
neutral	Second suggestion for the GOP Debate: Give John Kasich 5 minutes of uninterrupted time to explain why he's 10th out of these 10 dudes.
positive	I can't wait for the main event of Summerslam Undertaker vs Brock Lesnar! May the best man win!
negative	if i sat beside niall i would be so annoyed bc he looks like he chews his gum annoyingly loud  http://t.co/Zc5NPTGJgD
positive	@SMRajaai just about to watch Iran play Czech Republic at handball in wroclaw. I may be the only one cheering Iran.
negative	I'm not even a fan of box/mma but c'mon if you don't think Floyd Mayweather is a fucking joke then you're clueless
negative	@netanyahu My thriller shows what the stupid deal with Iran may deliver. Please read. https://t.co/A5wVh3YRx1 https://t.co/eGfNXT7bfa
positive	Welcome to Lukmon Osukoya's Blog: Boko Haram may be receiving its funding from the p... http://t.co/6Ac5AyNj1D
positive	I really might wear my David wright jersey and carry around a broom all day tomorrow
positive	"One of the 1st jokes from the hilarious Amy Schumer at @TWCArena: ""If anybody thought they were seeing 'Godspell' tonight, maybe exit left."""
positive	David Price rolls up the rim @TimHortons Sunday and a win for the #Jays   Welcome to #Canada David. http://t.co/3RnssaGJn6
neutral	On August 23rd my client Brock Lesnar will stamp the repeat in Eat, Sleep, CONQUER, Repeat! #FACT! @HeymanHustle #RAW
positive	@NiallOfficial if you met me Niall you'd be laughing like there's no tomorrow bro.. @1alexsummers
negative	Mehn..this Boko Haram is just like a cancer..,That said, iBelieve one day all this killings will end https://t.co/fVFTcM5YST
positive	Thursday night Fantasy Draft, Friday day Charlotte football viewing party, Friday night Jason Aldean, Saturday ECU, Sunday LKN!
neutral	Other Voices: An ugly win for Tom Brady: Tom Brady. Last Thursday, a federal judge spiked the NFL... http://t.co/QpdaaxcFIO #Deflategate
neutral	@raghumag @BhateKetan Just wanted to say all ppl with different views may not b cowards or have mercy towards Yakub.
positive	aww Chris Evans again not him meee im Chris, so want to treat my family ;-) https://t.co/nBZSMLmagn
negative	If frank ocean doesn't realize his album by July 45 I'm going to kill myself
positive	U2 concerts in Ireland at the end of November possibly?! YESSS! Hope I get tickets! Stuff of dreams to see U2 live. Heroes.
negative	"Kendrick the GOAT twitter ""All females hoes"" twitter  https://t.co/YXd3f1psRg"
negative	"false, no such thing as ""a song better than march madness"", Kendrick would tell you that too https://t.co/QXhckVFpk9"
neutral	@milanistavici @TheMilanBible all this people should not be in Milan ether may be DS cuz he still had some time
negative	@YahooSports I hope she beats her Ass.Rousey may be a converted guy for all we know. Truly, who cares!meh2490.
neutral	The Money King: Floyd Mayweather sleeps with 4 women on one bed: Ahead of his September 12 fight with Andre Be... http://t.co/9ROdOjxj3R
positive	ICYMI: The new YA coming of age story PAPER TOWNS may be a tad cliche but it finishes strong and boasts a good cast http://t.co/ZO6toJTvou
positive	11:11 hug the hell out of Niall when I meet him on Saturday (hopefully)
neutral	Floyd Mayweather is fight on September for free....? No wonder he picks Berto!
neutral	Dude @aliahaffandi , Paper Towns tomorrow at 1430. I'll dm you the location. Let me know if you're available or not.
neutral	Real Madrid 3rd kits 2015/16 New New want one?? http://t.co/nKG7GFSIEv
neutral	I hope Jon Stewart cuts a heel promo tomorrow night calling John Cena the Arby's of wrestling.
positive	Happy Thor's day Twitter friends ! #thursday #lol #cats #funny #humour https://t.co/gAb6drTleP
negative	George Lincoln Rockwell was one of the 1st to recognize that Conservatives like @NRO Buckley, Goldwater &amp; Reagan were #Cucks for Israel.
positive	goodnight have a great night I need to go to bed because I have school on Tuesday and sleep schedule is messed up ok Shawn loves you
neutral	Is it fair? Both print as well as TV Media reacts 2 Yakub's coverage, it's big picture as 2nd headline 4 Kalam's http://t.co/x06dBPZfiM
neutral	#nowplaying Last Friday Night - Katy Perry on 95XFM with @TuneIn http://t.co/kdTFu7ckKJ
negative	New TV series BBC2 1950h Sunday called 'Smug rich buggers make poorer people beg' I bet George Osborne absolutely loves it
neutral	@andy_murray wins 3rd set to get back into the match but @kevinanderson18 still leads 6-7 3-6 7-6 Murray has won 8 times from 2 sets down.
positive	@KFROGRadio so glad I was the grand prize winner to see Zac Brown Band I can't wait til October :)
neutral	I still remember like 3 years ago.  Zayn told Harry that he was leaving the band on February 30th but he was joking and he said Harry cried+
negative	Why can't people just accept that Louis got Briana pregnant, end of story, move on  https://t.co/khDYyJAK9q
positive	Just score a seat at the Red Sox for Friday PM! Woot!!
neutral	Our latest show: Prince George's 2nd Birthday, Danish Royal Family, &amp; Our 5c worth on the Republic debate #np... http://t.co/KZplEYyTMV
positive	"May the blessings of Allah fill your life with happiness and open all the doors of success now and always. "" Eid..."
neutral	so who's going to Jason Aldean tomorrow, raise ur hands
positive	I grow weary of Christians who on Sunday profess their love for the one who said, 'when you do it to the least... http://t.co/U6WXL2LY2X
neutral	the wait to find out if one of the 44 people i got to apply to win sam smith tickets is killing me, thursday hurry the fuck up
negative	If these runway renovations at the airport prevent me from seeing Taylor Swift on Monday, Bad Blood will have a new meaning.
neutral	David Bowie on his way to casual Friday at the studio https://t.co/9RGCcGi15W
neutral	Is John Kasich, the 16th Republican to run for president, conservative enough for 2016 voters? http://t.co/bxaH2qe8wM http://t.co/ay8Ew9peYd
neutral	Amy Schumer hosted Saturday Nigh Live recently and joked about being hacked: https://t.co/SnrciYvGyj @TripwireInc #infosec #cyberday #cloud
neutral	Boohoo Miley called Nicki unpolite KIM CALLED HER EVERYTHING UNDER THE SUN just admit NICKI KNOW WHO TO TRY
neutral	@reggiculous hey! Do you know info about the Shawn event to Saturday? Like I know to be there by 11 but what time would it end &amp; where is it
negative	@jstines3 @KarrattiPaul @realDonaldTrump Gay marriage is wrong yes, but the only way to a Supreme Court dec is and amendment? No other way
neutral	It's the 1st of the month, folks. Time to get your 5 Psalms/1 Proverb per day going. These 2 books teach how 2 feel and think as Christians.
positive	National Hot Dog Day with the morning team starts at 7am. Tomorrow is National Tequila Day...but not at 7am at work. http://t.co/dxftt38Rcv
neutral	Anybody interested in buying Jason Aldean hard copy tickets for the show this Saturday September 5th in Raleigh?
positive	This time tomorrow...we'll have the Iron on. Iron Maiden pieces Drops tomorrow nights.
neutral	Eid was on Sat.&amp; #BajrangiBhaijaan is Salman Khan's Film with No-Action,Good WOM. Only Monday(if not low)&amp; Tuesday BOC can make things clear
positive	@TaraReid I want April to Live to see SHARKNADO 4! #AprilLives
positive	Cruising through town, windows down blaring Jason Aldean with a Chey that's a perfect Sunday afternoon
positive	Chris Carrigan: It's Prince George's 2nd birthday today. The 12th picture is the best - he's holding his baby... http://t.co/CRYkRD0gpM
positive	I feel like there will be another Friday and Ice cube will have his son play in it with him
neutral	KKL-JNF International Expo Mission to Milan: The Expo 2015 exhibition opened in Milan on May 1st and it will c... http://t.co/mPL4KF4YhA
neutral	There were clues the administration had a connection to the Rolling Stone rape hoax. This is pretty definitive http://t.co/DbqENWPM94
neutral	@CRogers_NFL You think he gets sent down when David Wright comes back tomorrow?
negative	Watching TFI Friday, WTF has Chris Evans done, has he had surgery? Just doesn't look right, grow old gracefully fella!!
positive	I was at Eid in the Park, an event hosted by The Ark from Glasgow on Sunday. Fantastic Day, thanks to all involved! http://t.co/RxeeMh2dZv
negative	I'd play that Iron Maiden video game but it looks like it may contain some offensive damsel in distress tropes
neutral	Gov. John Kasich entered the race few wks ago - in 1st debate &amp; moving up in polls. Honest speaker - 1 issue - his immigration policy -
neutral	"Top tip: Those ""Not Afraid"" rally pictures are from January with Charlie Hebdo."
positive	Kanye West @ the Hollywood bowl Sept 25th. That would be amazing tbh.
neutral	@KHOULily we got Milan last Wednesday ... she's rotten lol http://t.co/dmraLPEwD2
neutral	But hey, i guess you could say at least we (Milan) spent money. 3rd place will be one hell of a mission, but Milan did it to themselves
neutral	not with Kendrick Lamar I may have spelled wrong  https://t.co/zs3dSaESLd
negative	March 15: media frenzy over the Ziam kiss  March 25: Zayn quits one direction.  Y'ALL REALLY GONNA SAY THIS ISNT WEIRD ?
neutral	Oct 3rd, network will show a live MSG card with Brock Lesnar in the main event.
neutral	Why am I watching a changing diapers contest between kim kardashian and jimmy kimmel instead of studying for the exam I have tomorrow?
neutral	I wonder what celebrity I'd get for motivation... you may hug a shirtless David Wright if you do this #EWL #extremeweightloss
positive	@SuperBroMovies @AgeOfMyself the 1st one is ok, rise of the silver surfer was terrible, but Chris Evans was hilarious &amp; great in both.
neutral	Balotelli will be back to playing for Milan in the first game back after this break! Jan 6th vs Bologna! [CorSport]
neutral	Slider to center by Mark Trumbo and that will do for the top 3rd. Mariners lead White Sox, 4-0.
negative	@ScottInSC How do you keep attracting all these radical Black racist like @CandieFerald may related to Vester, Liberal, Gay, Racist
neutral	I may have let you down #MTVSTARS Lady Gaga
neutral	Really think @taylorswift13 should have @taylorphelan as a guest for Bad Blood at the show Oct 17 in Dallas
neutral	This VMA drama is just trying to distract us from Sharknado 3 tomorrow
positive	Rousey may be hot, but @LaurenPisciotta is the true bae http://t.co/0j3O93swwl
neutral	#Law #Legal #SMM Man charged with IRA membership at Saturday evening sitting of Special ... - Irish Independent https://t.co/wSfp0cpNY6
positive	Flashback Friday to pre opening for @LukeBryanOnline Can't wait to do it all again September 10th for Jason Aldean!! http://t.co/VImlF3Vyxy
neutral	Otis, Curtis &amp; Marvin will put you in an interesting place on Friday.
neutral	If you're not on curtis or wagner vars you have no say in whats going on friday period
neutral	@AndrewGreif Concern's having 5th guy who can play CB; Kane's natural Safety but he played some CB in camp unless others like Tyree will 2/2
neutral	My prediction about David Price --&gt; https://t.co/jv0PneyBOd https://t.co/SGIAbi3osO
neutral	@GovMikeHuckabee they ruled that the laws against gay marriage were unconstitutional and they were...14th Amendment, genius
positive	Nailed it! BOOYAH! Greatest MNF Memory Earl Campbell 199 yds 4 TD's and the 81 TD Run! I was 9! Frank Gifford RIP! https://t.co/RfRxiQB1wA
neutral	Tom Rinaldi didn't want to end his interview with Paul Dunne until Dunne was properly intimidated by tomorrow. Way to drive it home Tom.
positive	I am so happy Niall still thinks Santa Clara was a cool show, it's was one the 2nd American leg date I love him
neutral	Group spent its apex, in part, defending its 1st Amendment rights. But, at his most dangerous, Ice Cube seemed protected by the 2nd #NWA
neutral	If the #RedSox keep on winning and end up getting the 11th pick and losing a protected first by one slot would be classic Red Sox
neutral	Wish it was live so we could watch feeds like we do with Big Brother!! https://t.co/om9CBKaxWS
positive	David Price pitched eight innings of two-run ball in a win over the Angels on Friday. #BlueJays
positive	Good morning, start this Thursday with #WPop130815: Naughty Boy feat Sam Smith - La La La ; https://t.co/DSwsKp9WU3
positive	Caitlyn Jenner was once a man but is now happier as a women and that's fine he may not be attractive but he is happy
neutral	Boko Haram tops agenda for Nigerian leader meet with Obama - Sun Herald http://t.co/ZswDA2eVux
negative	I don't like hypocritical Jews and Christians and hypocritical Muslims too. May you all be thrown in the Blaze of Hell together amen.
positive	Seeing Jason aldean for the 13th time today... Yup
positive	Find us at the Sana 2015 Tradeshow on September 12th in the beautiful Milan, Italy! #tradeshow #betterwithbirk #Italy http://t.co/NLjucxiX16
positive	Head coach of the Super Eagles, Sunday Oliseh, has insisted he is happy with one point, after they ... http://t.co/XkbaR1k1ZK #badotweet
neutral	Lloris, Walker, Alderwiereld, Vertonghen, Davies, Mason, Dier, Lamela, Eriksen, Chadli, Kane tomorrow? Or maybe just unchanged from Stoke
neutral	Scott Walker lets 'handful of reasonable' Muslims remark stand: In attempting to make a point Friday about how... http://t.co/CJ5pPZOnro
neutral	@amazonhelp Yeah I know but I want to know when the 3rd generation Moto G will be available to buy
neutral	like c'mon, Kpop fans vote almost everyday, for every music shows + award shows at the end of the year + different polls. We live by voting
positive	White Sox take the lead on CSN! https://t.co/zSF8WFkCgm
neutral	Who's down to go to vegas for the Rousey vs. Holm fight in january?
neutral	Watch @RoyalBloodUK's interview with @lux1057 from backstage at the Foo Fighters show on Wednesday night --&gt; http://t.co/oOje8xfZ0G
negative	They're going to release info and tickets for the JaDine World Tour on Dec 25 where is the chill people I need to see 'em in Milan wtf.
neutral	"Noah's 3 fav songs in order: 1) the Imperial March 2) Bad Blood (""why does she need bandaids?"") 3) Shake Your Booty"
neutral	Bale took Wales from 118th position to the 9th position in FIFA ranking. Y U NOT DO THIS WITH REAL MADRID???
positive	Now that there's several 2D showings of ANT-MAN a day, maybe I'll actually see it... like tomorrow.
neutral	It's official: Ronda Rousey will get immediate rematch with Holy Holm: UFC boss Dana White said Thursday that ... https://t.co/DLOrfXLCsz
neutral	"Its fire how in #StraightOuttaCompton they show Ice cube working on "" friday"" the movie b4 it ever existed in real life"
neutral	I hate to do this but the next 3 games us Yankee fans have to root for the Red Sox to help the Yankees get back in 1st place.
neutral	Sat with the new Iron Maiden album and a cup of tea - writing the final few bits of my paper. #Bliss
neutral	Kris Bryant exited the game due to dizziness after sliding head first into 2nd.
positive	@Godforshort_ @HIFTBABG C'mon man don't get me wrong Cole had a great album but Kendrick gonna take it home
negative	May God touch the hearts of the Boko Haram insurgents to stop the bloodletting - IBB http://t.co/Spq04FWthv
positive	Rousey obliterated Correia on Saturday! Is she the most dominant @ufc fighter ever? #ufc190 #RondaRousey
neutral	Not suprised! he'll be at Real Madrid in 2 seasons! #amavi https://t.co/5piUoOQdIH
positive	Iron Maiden are the only known cure to Monday.
neutral	Gucci unmentionables he hopeful prognosis january hike up the duet your personality invasive spreading in cont...
neutral	@amentilone why? Truth may hurt, but there it is! I support Equality an Gay marriage because of MY Faith! http://t.co/OcpCaLNFdT
negative	Ice Cube can help with the Straight Outta Compton movie but can't even make the last Friday movie.... Bruhhh
negative	So Caitlyn Jenner may face man slaughter charges. He thought that the sex change would be easier for when she goes to prison
positive	I liked a @YouTube video http://t.co/88Zz0T7tuI Arnold Schwarzenegger and Joe Manganiello join Hulk Hogan in the ring: Raw, March 24,
negative	Um...Bobby Jindal (&amp; Scott Walker) don't love America or its Constitution--particularly the 14th Amend @eliasisquith https://t.co/iUtkPwBH7H
negative	Trying to keep up with Scott Walker's position on the issue of the 14th Amendment is about as easy as herding cats. http://t.co/SVG997N40U
negative	UK Home Sec Theresa May, a MoU with Saudi Arabia and why global condemnation of human rights record won't happen  https://t.co/7jCA72GhNG
neutral	Also costly if to get the new CD you made a 2nd rollover of IRA money within a 1-year period. Taxable distribution! https://t.co/wJ1zRssF3q
neutral	Meaning this form https://t.co/fpsBkdM0wu is from publicrecord, in which it says Rahul Gandhi is a British National https://t.co/xbezLYvNFT
positive	Christine Michael is probably the 6th best RB in the division behind Murray, Mathews, Sproles, Morris, and Mostert.
positive	If you have MOTO G 3rd gen guess what you can have  Airtel 4G! Tweet using #GetAirtel4G for a free SIM home delivery.!
neutral	@OnikaThot Nicki was trying to or the producers told her to discredit Mariah there and Mariah sat her bc she's still more successful
positive	sam I just realized I'm seeing Sam smith tomorrow I'm so in love
positive	"Paul Dunne: ""The ball does what you tell it to do."" We all know he's one to watch now! Brilliant #TheOpen https://t.co/E6JX9jIkmw"
neutral	tomorrow is my last day as a full time shift lead at Dunkin. so I'm getting waterproof mascara. because there'll probably be water works.
positive	Pretty sure Nicki's ass is the 8th wonder of the world
neutral	I don't care what you think about 1st and 14th Amendment law or even gay marriage.  What did ELVIS think about it?! https://t.co/04UExsBx2Q
positive	XTU will be in the house this Thursday Night giving away Jason Aldean tickets! http://t.co/3V6zccdSzx
positive	Absolutely fantastic stuff from Paul Dunne today. Keep the dream alive tomorrow
neutral	Photo: mymiddletons: July 5, 2015 Prince George attends the Christening of his sister, HRH Princess... http://t.co/gk3qEdCUtd
neutral	Ppl who've just got into Kpop recently may not be aware of 1st generation idols like H.O.T n Shinhwa, but they will eventually. I did.
positive	Oscar-winner Cate Blanchett may soon be joining the Marvel universe.  YES YES I DONT CARE WHAT SHE WILL PLAY YES YES
positive	Monday is my favorite day of the week because you can get any size iced coffee for $1 at Dunkin
positive	Well at least we got Miguel, frank ocean and the weeknd  https://t.co/C1Cbcv59xL
negative	@SNBarryDavis Also, the Red Sox do not have a challenge. They lost it in the 9th. This shouldn't be reviewed.
neutral	Kris Bryant left Sunday's game early with dizzyness after bumping his head into an opponent on a h... - via @ESPN App http://t.co/7lzOXNuf4R
neutral	Anybody wanna go to the Foo Fighters concert Sept 29 in OKC?
neutral	Remember this when you watch the news stories about Nicki tomorrow morning. http://t.co/ql1hPfQ7O7
positive	You may ask, Jarrica what are you doing at 7AM???!!? I am listening to As The World Falls Down by David Bowie.....so yeah
neutral	They should have used wolf link for the rerelease of twilight princess. Or Isaac from golden sun, or another Nintendo game, not FE again
positive	This may be about Miss America and not Miss USA, but John Oliver is always relevant/great/perfect/hilarious.  http://t.co/Bg8naStu66
negative	#samesex is morally deviant.  Shove the damn gay cake where the sun don't shine.  #KimDavis speaks the truth. Stand for #truth not lies
negative	Influenced by Rahul Gandhi. All from Kalam family may not be the same. e.g.Rahul Gandhi. - https://t.co/wnACG1i9c2
neutral	I just went with Tom Brady 2nd overall. Did I win or...?
positive	@dantencer mvp mvp. 11 pitchs and the 6th pitch to stay alive. He is going to get paid bigtime.and david price wow
neutral	The White Sox may sweep the Royals and I'm confused
neutral	Kane's got United player written all over him for me. See how he does in his 2nd season though. Poor start, but only few games in.
positive	"@DavidBowieReal ""Blackstar"" is the best thing to start a Friday night. Thanks David Bowie, my Messiah, my Lord."
positive	I want to make a shirt with Niall's tweet and wear it every Monday
neutral	Thor's Day Million Mask March #MMM2015 Remember Remember the 5th of November, the gunpowder treason and plot #Anonymous #AnonOps2015
neutral	@JamesGunn I was watching Age of Ultron last night and something stuck out, at the end Thor says the mind gem is the 4th infinity stone to
neutral	Photo: we-are-lucifers: Hi..NOTICE !! 4th of Seprember will be realesed the new album band IRON MAIDEN... http://t.co/RpyTmbTcff
neutral	John cena is going to beat Seth Rollins at summer slam on 23 of August on Sunday
neutral	Twins Highlight: Miguel Sano hits his 15th HR in just his 50th game, Tommy Milone (7 IP, 3 H) in 3-0 win vs. White Sox (ESPN)
positive	Baker Mayfield may have the starting job at OU, but Trevor Knight will always have that shoutout from Katy Perry.
neutral	@bluffniall welll im probably going to see justin bieber in october and except for that nothing much wbu?
neutral	@causticwithsoda How fragile is it? I'm still on Moto G 1st gen and this has lasted all holocausts. Looking at Mi now.
neutral	If Saturday was anything to go by, #thfc's issue isnt creating chances but the conversion of those chances. Kane needs support &amp; competition
negative	@Ashley_Chenelle is she cussing out Nicki? I may need to learn how to work this tv
positive	2 tickets for Jason Aldean tomorrow, hmu if you want them
neutral	Miley better pick up the Hannah Montana wig again because that may be the only she'll hide from Nicki. #VMAs2015
positive	Kris Bryant just hit the furthest home run I may have ever seen in my life
positive	Looking forward to @IanZiering other movie Lavalantula this Saturday. Crossover with Sharknado?
negative	Chris Evans is going to New Orleans wizard world in Jan &amp; I just found out today I'm so upset
neutral	While you may be able to kill 2 birds with one stone, Chuck Norris can kill 475.
negative	TRUMP &amp; Scott WALKER are right.  We should amend the 14th Amendment of the US Constitution 2 allow deportation of IDIOTS-Like Trump &amp; Walker
neutral	@lindaikeji: Super Eagles coach Sunday Oliseh says Mikel Obi refused to pick his call in London: Chelsea midfielder Mikel. Is it a toboo?
positive	from the time i dropped off mar'i to the time i got home i blasted justin bieber &amp; i have no shame
neutral	Would you rather be a Muslims 1st wife or 16th wife I rli just duno
neutral	Miss Justin Bieber could make such confidence in time she answered by endeavouring to its walls, while _you_ may view from
neutral	On this day in July 26, 2010~ #RAW: Randy Orton vs. Jey Uso  https://t.co/aRC2RI0mL0
positive	Good Thursday morning, #Weatherhounds! Glad to see y'all survived the Sharknado outbreak more or less intact.
positive	@kateburning Well Moose is in luck, because tomorrow at WWE Summer Slam, Undertaker faces off with Brock Lesnar and omg I can't wait.
neutral	Have you saved up enough money to buy WaKe Up World Tour tickets? and see The Vamps? NOVEMBER 7---- save the date! https://t.co/KgU3eDdbk3
neutral	On this day in September 3, 2012~ #RAW: John Cena vs. Alberto Del Rio  https://t.co/eTPE42Nwpu
positive	Can't wait till Thursday so ESPN can stop talking bout Tom Brady but on the flip side, he play Thursday smh
negative	Chibok: 500 days in Boko Haram captivity: Relatives of the missing Chibok schoolgirls will hold a youth march ... http://t.co/72eQiQ6jXF
neutral	Have you ever wondered if Christians and Muslims worship the same God? Our Theology Thursday answers that question! http://t.co/mWed83E3F3
neutral	@BabyxShad rolling stone, ball game, bamma weed, the whole 1st ringside Ep he dropped
neutral	@_e0wYn_  lol Ice Cube's movie Friday. They are trying to get rid of someone named Felicia they don't want around. http://t.co/218FyDKmY0
neutral	Chuck Norris of the Prairie: Certain plants may keep unwanted plants from invading restored areas. http://t.co/j6LTbeEKQ2 via @helzerprairie
negative	Sharknado is the silliest film franchise so badly produced I cudnt stop laughing through the 2nd, I saw sharks flying n had to call it a day
positive	Tasting sawine for the 1st time on Eid yesterday. He enjoyed every bit of it! @Dj_LyricalArt http://t.co/8nDDiqGFTt
neutral	John Cena Hits Jon Stewart with 'Attitude Adjustment' on Monday Night Raw #CenavsStewart #AA #WWEMondayNightRaw http://t.co/C3oNQjO0aO
positive	I plan to see the Fantastic 4 movie Tuesday. I went to see Age of Ultron and Ant-Man the Thursday night before.
negative	@twats0n what are you some stupid Twilight vampire? REAL ones don't go outside to tan. They sleep in complete darkness until the sun is down
neutral	This Wednesday, beat the cold front @ClintonsTavern with a celebration of George Harrison + The Beatles with Here Comes The Sun! Doors 7:30.
neutral	I can see a masked Kane returning to cost Taker the match https://t.co/Q3ue9RgFD3
neutral	Have you ever sat back and thought why people accepted the name Ice Cube as a reputable rap name?
positive	@PHVegas Good Evening Planet Hollywood happy Saturday to you HI may i ask if your going to be selling any Janet Jackson unbreakable tour t
positive	Alright, give me Seth Rollins, and give me the Dudle8y Boyz. C'mon, let's see them. #SmackDown
positive	@tifftiffannie haha 8th - 11th grade was strong with the Kpop. We're always in sync lol
neutral	Thought the Hulk would stay in hiding til the 3rd Avengers movie but he's gonna be in Thor's film which is just weird but whatever.
